country,gb,days,price_usd,price_per_gb,unlimited
egypt,2,1,1.49,0.745,no
egypt,2,1,1.5,0.75,no
egypt,3,1,2.25,0.75,no
egypt,3,1,2.25,0.75,no
egypt,3,1,2.26,0.753,yes
egypt,3,7,2.31,0.77,no
egypt,3,7,2.32383336,0.775,no
egypt,2,1,1.62,0.81,yes
egypt,3,15,2.64,0.88,no
egypt,3,30,2.64,0.88,no
egypt,3,12,2.64,0.88,no
egypt,3,20,2.64,0.88,no
egypt,3,25,2.64,0.88,no
egypt,3,14,2.64,0.88,no
egypt,3,21,2.64,0.88,no
egypt,3,12,2.64,0.88,no
egypt,3,15,2.64,0.88,no
egypt,3,30,2.65,0.883,no
egypt,12,30,11.49,0.958,no
egypt,3,3,2.91,0.97,no
egypt,1,1,0.99,0.99,no
egypt,2,1,1.9885539200000002,0.994,no
egypt,1,1,1,1,no
egypt,3,1,3.02,1.007,no
egypt,3,5,3.05,1.017,no
egypt,3,1,3.11,1.037,no
egypt,3,1,3.1215672000000003,1.041,no
egypt,3,7,3.19,1.063,no
egypt,3,20,3.21,1.07,no
egypt,3,25,3.21,1.07,no
egypt,3,30,3.2256194400000004,1.075,no
egypt,3,5,3.25,1.083,no
egypt,3,10,3.33,1.11,no
egypt,1,3,1.15,1.15,no
egypt,2,7,2.31,1.155,no
egypt,0.5,1,0.58,1.16,no
egypt,1,3,1.16769736,1.168,no
egypt,0.5,1,0.594584541510661,1.189,no
egypt,1,7,1.19,1.19,no
egypt,1,5,1.19,1.19,no
egypt,0.5,1,0.6,1.2,no
egypt,1,7,1.2,1.2,no
egypt,0.5,1,0.6024080223200119,1.205,no
egypt,1,1,1.2139428,1.214,no
egypt,1,7,1.2601882400000002,1.26,no
egypt,2,1,2.5269843014203093,1.263,no
egypt,1,1,1.2833109600000001,1.283,no
egypt,1,7,1.2833109600000001,1.283,no
egypt,10,30,12.9,1.29,no
egypt,2,1,2.58,1.29,no
egypt,2,1,2.5973956287044664,1.299,no
egypt,10,30,13,1.3,no
egypt,0.5,7,0.65,1.3,no
egypt,1,1,1.3,1.3,no
egypt,2,1,2.6,1.3,no
egypt,0.4,1,0.5202612000000001,1.301,no
egypt,2,1,2.601306,1.301,no
egypt,2,1,2.63,1.315,no
egypt,2,15,2.64,1.32,no
egypt,2,30,2.64,1.32,no
egypt,1,7,1.35,1.35,no
egypt,2,15,2.71,1.355,no
egypt,2,1,2.74,1.37,yes
egypt,2,1,2.82,1.41,no
egypt,2,15,2.89,1.445,no
egypt,1,3,1.5,1.5,no
egypt,2,1,3.06,1.53,no
egypt,1,1,1.54,1.54,no
egypt,2,15,3.13,1.565,no
egypt,2,1,3.15,1.575,no
egypt,0.5,7,0.79,1.58,no
egypt,1,5,1.59,1.59,no
egypt,1,7,1.59,1.59,no
egypt,0.5,7,0.79773384,1.595,no
egypt,2,15,3.21,1.605,no
egypt,1,1,1.62,1.62,no
egypt,8,30,12.99,1.624,no
egypt,1,1,1.6272840083449671,1.627,no
egypt,1,7,1.63,1.63,no
egypt,2,15,3.26,1.63,no
egypt,1,7,1.64,1.64,no
egypt,1,1,1.6585779315823703,1.659,no
egypt,1,7,1.69,1.69,no
egypt,1,7,1.7,1.7,no
egypt,0.5,1,0.87,1.74,no
egypt,0.5,1,0.88,1.76,no
egypt,1,30,1.79,1.79,no
egypt,1,5,1.79,1.79,no
egypt,1,30,1.8,1.8,no
egypt,1,1,1.8,1.8,no
egypt,1,1,1.8,1.8,yes
egypt,1,7,1.8,1.8,no
egypt,1,7,1.831469248084327,1.831,no
egypt,1,1,1.88,1.88,no
egypt,1,1,1.88,1.88,no
egypt,1,1,1.88,1.88,no
egypt,1,14,1.89,1.89,no
egypt,1,7,1.92,1.92,no
egypt,1,3,1.9245762791002976,1.925,no
egypt,1,1,1.9552171702521872,1.955,yes
egypt,1,1,1.97,1.97,no
egypt,1,7,1.99,1.99,no
egypt,1,7,1.99,1.99,no
egypt,1,1,1.99,1.99,yes
egypt,0.5,1,1,2,no
egypt,0.5,1,1,2,no
egypt,1,1,2,2,no
egypt,1,7,2,2,no
egypt,1,7,2,2,no
egypt,1,0,2,2,no
egypt,1,7,2,2,no
egypt,1,5,2.04,2.04,no
egypt,0.5,1,1.02896104,2.058,no
egypt,0.5,7,1.02896104,2.058,no
egypt,1,7,2.11,2.11,no
egypt,1,7,2.12,2.12,no
egypt,1,5,2.1201632993340676,2.12,no
egypt,1,3,2.13,2.13,no
egypt,0.5,1,1.07181687088106,2.144,no
egypt,1,7,2.15,2.15,no
egypt,1,7,2.1592807033808215,2.159,no
egypt,0.5,1,1.08,2.16,no
egypt,1,1,2.17,2.17,no
egypt,1,1,2.18,2.18,no
egypt,0.5,1,1.0952873133091123,2.191,no
egypt,1,1,2.24,2.24,no
egypt,1,7,2.30071064,2.301,no
egypt,1,7,2.30071064,2.301,no
egypt,0.5,1,1.16,2.32,no
egypt,1,5,2.35,2.35,no
egypt,1,1,2.35,2.35,no
egypt,1,7,2.35,2.35,no
egypt,1,7,2.36,2.36,no
egypt,1,7,2.39,2.39,no
egypt,1,7,2.3963917111637354,2.396,no
egypt,10,30,23.99,2.399,no
egypt,1,7,2.4,2.4,no
egypt,1,7,2.41,2.41,no
egypt,1,7,2.41,2.41,no
egypt,0.5,1,1.22,2.44,no
egypt,1,5,2.45,2.45,no
egypt,1,7,2.455543519993465,2.456,no
egypt,1,7,2.49,2.49,no
egypt,1,7,2.49,2.49,no
egypt,1,7,2.49,2.49,no
egypt,1,10,2.495690378182906,2.496,no
egypt,1,1,2.5,2.5,no
